state,cardholder,balance,numTrans,numIntlTrans,creditLine,fraudRisk
16,1,0,51,0,5,0
13,2,4000,21,0,3,0
11,1,6677,10,1,9,0
19,1,495,3,52,4,0
35,1,9000,14,60,8,0
38,1,5000,12,7,4,0
48,1,9730,11,2,24,0
44,1,12000,11,35,11,0
1,1,0,10,0,19,0
44,1,7169,16,0,13,0
12,1,0,23,14,3,0
43,1,0,26,3,16,0
11,1,8000,50,9,7,0
22,1,3000,100,2,2,0
14,1,0,39,0,3,0
32,1,5251,26,18,22,0
46,1,9404,12,0,31,0
6,1,6561,7,15,6,0
35,1,2000,6,8,1,0
10,1,8666,6,8,25,0
45,1,0,100,0,20,0
10,1,3089,7,2,15,0
43,1,6526,45,0,19,0
25,1,1276,16,0,5,0
37,1,0,33,0,10,0
14,1,2000,36,0,1,0
35,1,8069,23,4,13,0
35,1,0,34,0,8,0
47,1,6000,20,0,5,0
18,1,0,45,0,4,0
28,1,8000,9,0,7,0
46,1,1001,15,0,7,0
46,1,5000,27,10,4,0
51,1,0,19,21,4,0
5,1,0,15,9,11,0
39,1,629,37,2,2,0
2,1,0,37,7,4,0
2,1,4000,35,9,3,0
43,1,0,28,4,2,0
37,1,3135,35,1,8,0
44,1,0,45,6,2,0
40,1,4000,12,30,3,0
37,1,0,10,5,5,0
5,1,13075,2,8,23,0
10,1,0,50,26,7,0
34,1,9517,71,0,12,0
44,1,3000,7,2,2,0
10,1,11122,27,2,21,1
5,1,8521,9,9,8,0
32,1,3000,6,5,2,0
2,1,13000,1,12,12,0
35,1,0,42,0,2,0
5,1,9788,23,0,15,0
20,1,0,74,0,10,0
16,1,939,9,1,3,0
46,1,7373,12,0,7,0
11,1,0,6,6,6,0
16,1,0,20,0,6,0
24,1,7000,14,12,6,0
10,1,1746,100,9,4,0
39,1,5000,6,0,4,0
32,2,8385,15,0,8,0
28,1,12000,7,0,11,0
46,2,12364,19,0,17,0
5,1,8151,20,7,75,1
44,1,1386,96,0,15,0
13,1,0,10,1,4,0
22,1,3000,15,1,2,0
25,1,8000,26,1,7,0
44,1,4023,13,9,5,0
10,1,0,100,9,15,0
32,1,0,4,0,10,0
3,1,1447,9,5,1,0
5,1,351,21,6,3,0
51,1,3000,63,0,2,0
6,1,8558,9,0,15,0
47,1,7000,20,0,6,0
6,1,0,9,6,5,0
21,1,0,40,0,7,0
21,1,0,47,14,5,0
44,1,1886,15,2,5,0
18,1,5000,37,1,4,0
14,1,0,7,3,2,0
39,1,0,4,12,2,0
36,1,0,52,8,24,0
24,1,9000,56,0,8,0
5,1,3000,72,0,2,0
5,1,517,28,0,12,0
35,1,3655,30,6,7,0
29,1,4000,12,1,3,0
43,1,14000,4,6,13,0
7,1,8245,74,9,8,0
38,1,4799,13,0,4,0
11,1,7687,38,4,8,0
36,1,6000,16,18,5,0
29,1,0,46,4,3,0
5,1,6000,34,6,5,0
44,1,729,31,0,3,0
46,1,4000,45,0,3,0
39,1,4538,19,0,10,0
4,1,12000,16,0,11,0
43,1,0,35,0,6,0
35,1,7000,10,0,6,0
24,1,6000,88,0,5,0
4,1,4752,8,0,4,0
38,1,3367,21,0,4,0
10,1,2736,27,0,15,0
4,1,3188,100,0,3,0
14,1,0,56,0,57,1
41,1,0,26,0,6,0
29,1,0,4,3,2,0
36,2,0,24,2,10,0
19,1,1797,27,10,3,0
11,1,2000,10,0,1,0
5,1,11754,16,6,21,0
5,1,4583,13,0,13,0
10,1,1834,16,10,10,0
26,1,6305,8,19,10,0
2,1,16021,3,6,17,0
5,1,4506,14,0,5,0
16,1,0,43,0,3,0
37,1,0,86,7,18,0
5,1,0,65,0,4,0
45,1,6000,65,9,5,0
26,1,4000,12,0,3,0
46,1,9000,100,22,8,0
39,1,0,50,0,9,0
4,1,7000,11,1,6,0
25,1,3998,6,4,8,0
35,1,5827,15,0,6,0
5,1,3000,100,55,2,0
12,1,11588,14,0,19,0
41,1,8765,4,7,10,0
41,1,8643,15,5,16,0
38,1,1787,27,7,12,0
23,1,0,3,6,8,0
15,1,5000,6,60,4,0
49,1,3000,15,9,2,0
25,1,3000,46,3,2,0
46,1,0,47,16,6,0
24,1,5000,36,0,4,0
15,1,6020,6,4,26,0
3,1,2735,11,0,2,0
48,1,292,17,0,10,0
44,1,2985,12,1,8,0
37,1,6000,11,0,5,0
23,1,1761,23,0,4,0
16,1,8425,12,0,8,0
7,1,830,9,0,75,0
43,1,6000,2,10,5,0
26,1,3444,20,0,3,0
5,1,12587,4,0,12,0
18,1,0,18,8,11,0
44,1,0,100,0,4,1
44,1,5000,41,11,4,0
17,1,6000,15,0,5,0
35,1,13000,54,9,12,0
32,1,0,43,0,11,0
41,1,7234,12,0,29,0
5,1,1958,58,0,11,0
24,1,0,25,0,14,0
44,1,0,66,0,5,0
44,1,10000,28,0,9,0
14,1,9000,6,0,8,0
46,1,0,100,60,2,0
34,1,1398,10,0,3,0
36,1,0,13,0,15,0
10,1,8144,29,0,22,0
10,1,0,36,4,5,0
15,1,7000,2,20,6,0
26,1,3000,12,0,2,0
6,1,4000,14,0,3,0
24,1,0,26,0,2,0
3,1,734,36,0,7,0
42,1,4000,22,0,3,0
2,1,1867,45,8,3,0
44,1,7918,29,10,7,0
15,1,6000,61,8,5,0
48,1,4730,100,0,6,1
39,2,0,7,6,4,0
18,1,11606,97,35,11,0
15,1,6000,2,0,5,0
37,1,2221,59,0,10,0
20,1,11000,39,0,10,0
10,1,3000,86,4,2,0
49,1,14000,3,14,13,0
5,1,1723,53,0,3,0
44,1,1099,24,1,5,0
15,1,8000,5,0,7,0
4,1,3616,7,0,11,0
33,1,7000,17,3,6,0
11,1,11146,5,0,17,0
36,1,5000,16,5,4,0
16,1,2047,38,0,3,0
15,1,6138,33,0,8,0
10,1,3434,100,0,8,0
4,1,8672,5,10,10,0
10,1,4000,7,5,3,0
29,1,5223,15,1,9,0
39,1,0,12,0,4,0
5,1,5000,19,0,4,0
33,1,0,5,0,22,0
11,1,5000,19,0,4,0
26,1,5000,13,0,4,0
18,1,0,36,1,6,0
4,1,4000,12,0,3,0
43,1,5000,3,0,4,0
24,1,10000,24,0,9,0
36,1,6041,61,3,9,0
35,1,5423,6,2,9,0
24,1,2598,27,2,6,0
46,1,7397,12,0,19,0
24,1,5291,14,36,10,0
32,1,9938,43,0,17,0
44,1,7000,30,5,6,0
16,1,0,15,0,4,0
23,1,2089,66,0,3,0
2,1,3938,29,3,6,0
29,1,5796,17,0,15,0
35,1,4467,10,19,4,0
10,1,3000,44,16,2,0
10,1,3000,67,0,2,0
50,1,0,6,9,4,0
36,1,0,69,0,1,0
11,1,0,6,6,9,0
9,1,8067,0,3,10,0
21,1,8000,10,18,7,0
29,1,2228,54,0,5,0
5,1,4248,32,0,5,0
5,1,4308,33,3,8,0
49,1,0,12,0,13,0
35,1,0,5,0,6,0
43,1,9000,37,11,8,0
35,1,0,4,4,5,0
36,1,6651,23,59,24,0
29,1,0,13,30,10,0
35,1,3056,8,0,23,0
36,1,6355,100,0,10,0
38,1,1920,13,0,2,0
10,1,2762,5,0,15,0
36,1,4000,7,36,3,0
5,1,15145,16,0,17,0
11,1,7000,58,5,6,0
41,1,0,46,5,7,0
5,1,5643,23,0,9,0
15,1,0,35,3,3,0
32,1,6000,21,0,5,0
44,1,13000,14,0,12,0
14,1,0,8,0,6,0
46,1,3717,100,4,14,0
21,1,7000,6,0,6,0
38,1,3238,8,0,7,0
2,1,4954,11,5,46,0
44,1,6764,13,0,16,0
32,1,0,14,0,4,0
5,1,9000,68,0,8,0
2,1,10000,6,0,9,0
15,1,4928,12,1,12,0
5,1,3000,20,21,2,0
25,1,0,17,0,10,0
29,1,7000,33,0,6,0
48,1,6000,56,4,5,0
36,1,5503,35,9,6,0
39,1,710,49,0,5,0
14,1,2394,18,0,14,0
19,1,7712,13,0,38,0
39,1,5171,18,0,12,0
10,1,3000,93,3,2,0
43,1,0,8,0,25,0
35,1,5000,51,3,4,0
39,1,2000,63,0,1,0
21,1,5000,4,0,4,0
43,1,5000,2,2,4,0
44,1,1791,6,6,3,0
44,1,9425,7,17,11,0
25,1,9024,15,0,9,0
10,1,6118,17,21,21,0
25,1,10000,10,4,9,0
44,1,8000,8,15,7,0
35,1,3000,33,0,2,0
10,1,7000,12,0,6,0
16,2,0,4,0,6,0
5,1,2704,100,0,4,0
6,1,5000,85,0,4,0
5,1,315,24,0,5,0
18,1,0,17,0,5,0
48,1,896,100,0,17,0
4,1,0,33,0,75,1
21,1,3000,4,9,2,0
20,1,7000,27,0,6,0
39,1,4000,5,1,3,0
10,1,0,23,5,2,0
10,1,13000,5,0,12,0
16,1,3000,5,3,2,0
29,1,3000,12,17,2,0
5,1,0,28,0,5,0
48,1,2501,12,7,3,0
4,1,0,29,0,1,0
6,1,2000,23,5,1,0
5,1,0,71,3,12,0
39,1,0,5,0,10,0
35,1,6000,5,1,5,0
35,1,5130,27,5,12,0
45,1,0,30,2,9,0
48,1,2079,2,8,2,0
19,1,0,22,4,7,0
11,1,2930,5,27,3,0
48,1,1341,5,14,2,0
23,1,3000,63,0,2,0
45,1,0,81,1,5,0
23,1,466,19,0,21,0
4,1,10000,11,0,9,0
15,1,0,0,8,3,0
24,1,5000,17,0,4,0
24,1,2884,16,2,3,0
11,1,748,55,0,18,0
11,1,7000,99,17,6,0
39,1,6057,28,0,39,0
44,1,2178,14,0,3,0
24,1,4467,50,0,24,0
35,1,3632,22,0,14,0
29,1,0,100,21,2,0
10,1,0,11,8,5,0
43,1,5000,40,1,4,0
18,1,7000,55,5,6,0
