0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
7.18,66.18,55128.46,5.88,47.73,120.21,212.13,707.11,69.0,89.0,21.97,0.01,1260.0,21.0,1.94,0.0,1.94,-0.48,-3.64,5.05,0.97,3.78,-0.01,132.78,0.54,87.65,0.13,0.1,2.14,73.4,431.19,0.14,0.09,0.23,0.14,0.11,81.9,0.1,1800.0,4.72,47.59,147500.0,42.0,1507.76,1127.41,59.0,11.0,1.0
7.85,66.25,4530.75,3.23,150.85,451.78,710.63,1460.31,55.0,78.0,25.84,0.0,1710.0,34.0,1.93,0.0,1.93,-0.28,-2.96,2.57,0.38,9.24,0.18,351.67,0.47,75.26,0.19,0.14,2.02,34.81,138.32,0.27,0.12,0.39,0.24,0.2,178.4,0.17,4610.0,6.1,35.0,822500.0,51.0,1409.43,1627.54,329.0,1.0,0.0
7.24,66.15,4927.51,2.21,773.69,1937.42,3095.56,4287.77,55.0,78.0,80.11,0.0,14490.0,281.0,2.17,0.0,2.17,-0.31,-3.09,3.56,0.24,9.24,0.18,351.67,0.53,75.26,0.18,0.15,2.31,41.87,114.69,0.41,0.09,0.49,0.2,0.18,317.7,0.22,25450.0,8.98,40.08,8085000.0,32.0,1357.96,1091.56,3234.0,2.0,0.0
7.67,66.34,4732.04,2.59,659.67,1530.38,2404.16,3959.8,55.0,78.0,83.6,0.0,12150.0,228.0,2.16,0.0,2.16,-0.29,-2.84,4.21,0.27,9.24,0.18,351.67,0.51,75.26,0.22,0.17,2.2,32.23,89.49,0.71,0.08,0.79,0.26,0.21,264.5,0.24,22110.0,9.29,38.13,5847500.0,45.0,1633.02,1537.68,2339.0,3.0,0.0
7.41,65.78,25579.34,4.54,348.7,1245.07,1749.29,5650.88,55.0,78.0,40.67,0.0,8730.0,164.0,2.18,0.0,2.18,-0.28,-3.07,10.63,2.5,9.24,0.18,351.67,0.44,75.26,0.18,0.14,1.89,50.99,149.87,0.42,0.08,0.5,0.29,0.22,427.4,0.32,17380.0,10.48,32.76,7427500.0,59.0,630.8,1020.91,2971.0,4.0,1.0
7.58,65.72,28172.07,1.7,477.23,2043.9,3059.41,3471.31,55.0,78.0,31.97,0.0,8100.0,150.0,2.19,0.0,2.19,-0.33,-3.19,8.68,0.78,9.24,0.18,351.67,0.4,75.26,0.18,0.15,1.76,43.96,118.11,0.58,0.11,0.69,0.26,0.2,496.7,0.26,15880.0,7.99,30.41,7887500.0,11.0,469.39,1118.08,3155.0,5.0,1.0
7.41,66.18,5514.48,1.63,593.54,3894.1,4816.64,6340.54,55.0,78.0,120.48,0.0,34290.0,623.0,2.17,0.0,2.17,-0.24,-2.83,3.49,0.1,9.24,0.18,351.67,0.51,75.26,0.19,0.16,2.23,40.41,111.73,0.54,0.06,0.6,0.21,0.18,488.0,0.25,58790.0,9.5,38.57,28687500.0,41.0,1386.03,1249.47,11475.0,6.0,0.0
8.01,66.29,4535.86,5.8,300.07,651.51,1140.18,3780.21,55.0,78.0,65.28,0.0,6930.0,120.0,2.16,0.0,2.16,-0.33,-3.21,4.81,1.37,9.24,0.18,351.67,0.52,75.26,0.25,0.2,2.27,21.62,75.97,0.6,0.12,0.72,0.27,0.21,199.0,0.37,12990.0,14.51,39.3,2585000.0,52.0,1464.7,1776.55,1034.0,7.0,0.0
7.52,66.14,6165.56,6.98,358.06,632.82,1234.91,4419.56,55.0,78.0,91.89,0.0,8280.0,160.0,2.17,0.0,2.17,-0.26,-2.92,3.23,0.27,9.24,0.18,351.67,0.48,75.26,0.22,0.16,2.07,32.09,166.37,0.47,0.08,0.56,0.27,0.2,167.8,0.21,15420.0,7.51,35.9,2587500.0,68.0,1281.72,1304.9,1035.0,8.0,0.0
7.96,66.23,4236.17,1.6,387.6,1983.69,2600.48,3170.57,55.0,78.0,201.47,0.0,28620.0,535.0,2.16,0.0,2.16,-0.29,-3.21,3.45,0.35,9.24,0.18,351.67,0.46,75.26,0.19,0.15,1.99,44.03,129.05,0.46,0.07,0.53,0.23,0.19,245.3,0.22,49430.0,7.6,34.47,12127500.0,52.0,1345.04,1700.15,4851.0,9.0,0.0
7.63,66.38,4084.14,2.58,307.58,1506.78,2050.61,3889.09,55.0,78.0,61.9,0.0,13410.0,241.0,2.16,0.0,2.16,-0.47,-2.97,2.97,-0.07,9.24,0.18,351.67,0.56,75.26,0.21,0.17,2.42,44.32,146.74,0.52,0.08,0.6,0.31,0.25,342.2,0.26,21180.0,11.07,41.88,7247500.0,45.0,1713.0,1533.91,2899.0,10.0,0.0
8.0,66.27,4402.7,0.33,302.87,1645.45,2450.0,550.0,55.0,78.0,112.45,0.0,12870.0,241.0,2.16,0.0,2.16,-0.27,-3.28,3.11,0.06,9.24,0.18,351.67,0.47,75.26,0.24,0.19,2.04,30.41,100.97,0.49,0.11,0.6,0.31,0.24,191.8,0.26,21570.0,9.05,35.38,4137500.0,90.0,1430.22,1761.3,1655.0,11.0,0.0
7.53,66.19,6602.97,0.39,247.42,4531.14,5020.46,1767.77,55.0,78.0,119.07,0.0,15840.0,291.0,2.17,0.0,2.17,-0.23,-3.02,3.68,0.27,9.24,0.18,351.67,0.51,75.26,0.2,0.16,2.24,35.02,93.41,0.4,0.07,0.47,0.21,0.17,236.5,0.23,28160.0,8.75,38.72,6660000.0,45.0,1363.74,1344.49,2664.0,12.0,0.0
7.22,66.18,5500.47,5.79,156.73,587.69,860.23,3400.37,55.0,78.0,50.96,0.0,5940.0,114.0,2.17,0.0,2.17,-0.31,-2.97,3.49,0.45,9.24,0.18,351.67,0.55,75.26,0.19,0.15,2.37,37.48,104.89,0.27,0.07,0.34,0.2,0.17,214.3,0.2,10920.0,8.16,41.06,2340000.0,54.0,1416.49,1095.47,936.0,13.0,0.0
7.78,66.35,3792.61,7.81,213.81,368.89,890.22,2881.41,55.0,78.0,50.33,0.0,4050.0,77.0,2.16,0.0,2.16,-0.37,-2.96,3.22,0.37,9.24,0.18,351.67,0.49,75.26,0.29,0.21,2.12,18.12,122.64,0.5,0.13,0.63,0.35,0.26,155.4,0.26,7820.0,9.49,36.71,1215000.0,39.0,1627.11,1628.99,486.0,14.0,0.0
7.49,66.39,6334.81,3.65,354.07,728.86,1484.08,2662.71,55.0,78.0,42.6,0.0,5580.0,105.0,2.16,0.0,2.16,-0.44,-3.11,5.32,0.58,9.24,0.18,351.67,0.45,75.26,0.25,0.2,1.95,23.33,53.46,0.65,0.17,0.81,0.3,0.24,223.5,0.24,9520.0,8.27,33.83,2127500.0,34.0,1749.68,1422.2,851.0,15.0,0.0
7.78,66.31,3508.48,5.31,366.64,875.39,1390.14,4650.27,55.0,78.0,99.02,0.0,11160.0,202.0,2.16,0.0,2.16,-0.47,-2.91,3.46,0.45,9.24,0.18,351.67,0.46,75.26,0.24,0.19,1.98,26.36,70.74,0.7,0.1,0.8,0.3,0.23,187.7,0.24,18590.0,8.36,34.37,3490000.0,54.0,1545.25,1608.04,1396.0,16.0,0.0
7.8,66.1,5267.92,1.2,400.0,2338.39,3150.0,2800.0,55.0,78.0,134.68,0.0,17280.0,310.0,2.17,0.0,2.17,-0.33,-3.17,5.52,1.04,9.24,0.18,351.67,0.45,75.26,0.25,0.2,1.95,23.61,77.6,1.1,0.09,1.19,0.31,0.23,215.6,0.28,29030.0,9.43,33.76,6257500.0,90.0,1141.62,1501.49,2503.0,17.0,0.0
7.94,66.04,6298.61,18.71,55.24,62.39,141.42,1167.26,55.0,78.0,33.98,0.01,1080.0,21.0,1.94,0.0,1.94,-0.45,-2.76,3.62,0.04,9.24,0.18,351.67,0.51,75.26,0.25,0.18,2.21,18.49,93.39,0.22,0.14,0.37,0.25,0.2,69.1,0.15,2350.0,5.89,38.34,162500.0,43.0,995.74,1579.09,65.0,18.0,0.0
8.04,66.18,4663.21,5.48,124.78,299.41,570.09,1640.12,55.0,78.0,53.41,0.01,2430.0,44.0,1.94,0.0,1.94,-0.29,-3.32,3.71,-0.52,9.24,0.18,351.67,0.53,75.26,0.22,0.17,2.3,39.43,143.72,0.39,0.07,0.46,0.25,0.21,94.6,0.17,5050.0,6.71,39.8,477500.0,36.0,1238.7,1732.7,191.0,19.0,0.0
8.01,66.13,4363.75,2.32,346.33,639.88,1484.08,1484.08,55.0,78.0,72.48,0.0,4410.0,83.0,2.17,0.0,2.17,-0.41,-3.25,3.16,-0.1,9.24,0.18,351.67,0.52,75.26,0.22,0.16,2.26,31.7,86.53,0.42,0.12,0.54,0.26,0.2,111.9,0.19,8110.0,7.27,39.07,907500.0,147.0,1159.03,1687.61,363.0,20.0,0.0
7.81,66.17,3750.66,1.61,161.01,716.03,1054.75,1154.34,55.0,78.0,49.15,0.0,4320.0,82.0,2.17,0.0,2.17,-0.41,-2.73,4.6,0.06,9.24,0.18,351.67,0.49,75.26,0.25,0.18,2.11,32.85,119.8,0.55,0.14,0.69,0.36,0.29,157.1,0.21,7720.0,7.68,36.56,1212500.0,85.0,1270.0,1546.64,485.0,21.0,0.0
7.92,66.4,5028.26,2.11,719.96,956.04,2405.2,2015.56,55.0,78.0,112.66,0.0,7650.0,141.0,2.16,0.0,2.16,-0.32,-3.33,3.6,0.28,9.24,0.18,351.67,0.47,75.26,0.24,0.18,2.06,26.9,74.49,0.44,0.12,0.56,0.28,0.22,120.0,0.21,13520.0,7.62,35.61,1622500.0,134.0,1677.66,1765.53,649.0,22.0,0.0
7.79,66.24,5002.58,6.73,182.84,364.55,790.57,2452.04,55.0,78.0,67.71,0.0,4860.0,96.0,2.16,0.0,2.16,-0.21,-2.81,4.08,0.57,9.24,0.18,351.67,0.48,75.26,0.25,0.18,2.08,24.16,87.93,0.68,0.12,0.8,0.31,0.23,122.3,0.21,8280.0,7.59,35.99,1012500.0,70.0,1411.43,1576.57,405.0,23.0,0.0
8.16,66.08,6065.61,5.55,398.34,590.09,1662.08,3276.05,55.0,78.0,58.78,0.0,6660.0,120.0,2.17,0.0,2.17,-0.24,-3.25,2.72,0.25,9.24,0.18,351.67,0.44,75.26,0.25,0.19,1.93,26.17,73.74,0.45,0.09,0.54,0.29,0.22,190.0,0.27,11170.0,8.96,33.47,2122500.0,74.0,1032.26,1774.4,849.0,24.0,0.0
7.0,66.1,9605.98,5.12,97.07,306.32,447.21,1569.24,55.0,78.0,39.08,0.0,2430.0,46.0,2.17,0.0,2.17,-0.29,-1.77,3.02,0.48,9.24,0.18,351.67,0.56,75.26,0.14,0.12,2.44,61.45,115.39,0.19,0.08,0.28,0.15,0.12,121.0,0.12,4730.0,5.01,42.17,572500.0,68.0,1320.34,874.62,229.0,25.0,0.0
7.92,66.3,3378.6,5.05,59.63,178.33,269.26,901.39,55.0,78.0,30.37,0.01,1080.0,20.0,2.16,0.0,2.16,-0.68,-3.49,3.6,0.48,9.24,0.18,351.67,0.47,75.26,0.3,0.2,2.06,16.48,78.0,0.39,0.19,0.58,0.33,0.25,81.7,0.18,2480.0,6.32,35.65,202500.0,19.0,1492.58,1705.68,81.0,26.0,0.0
7.85,66.32,3347.77,1.77,443.83,1245.62,1844.59,2205.11,55.0,78.0,150.0,0.0,12690.0,235.0,2.16,0.0,2.16,-0.45,-3.06,3.88,0.22,9.24,0.18,351.67,0.49,75.26,0.24,0.18,2.13,29.8,100.14,0.56,0.07,0.63,0.29,0.23,138.9,0.23,20830.0,8.56,36.81,2892500.0,57.0,1553.88,1664.47,1157.0,27.0,0.0
8.01,66.24,4855.64,0.53,40.82,566.67,600.0,300.0,55.0,78.0,38.17,0.01,1710.0,31.0,2.16,0.0,2.16,-0.25,-3.43,2.6,0.19,9.24,0.18,351.67,0.4,75.26,0.25,0.19,1.74,22.67,45.17,0.34,0.12,0.46,0.27,0.2,90.1,0.2,3440.0,6.12,30.08,310000.0,90.0,1370.24,1748.69,124.0,28.0,0.0
6.85,66.15,10059.87,6.05,57.01,151.81,250.0,917.88,55.0,78.0,26.75,0.0,990.0,18.0,1.94,0.0,1.94,-0.15,-2.1,6.16,-1.15,9.24,0.18,351.67,0.55,75.26,0.12,0.09,2.38,86.56,289.89,0.12,0.06,0.18,0.13,0.1,88.6,0.08,2370.0,3.48,41.14,210000.0,59.0,1452.55,789.05,84.0,29.0,0.0
7.71,66.31,4511.47,8.39,101.81,236.6,424.26,1984.94,55.0,78.0,59.8,0.01,3150.0,58.0,2.16,0.0,2.16,-0.39,-2.72,5.97,1.19,9.24,0.18,351.67,0.47,75.26,0.39,0.31,2.02,7.9,31.55,0.44,0.23,0.67,0.41,0.34,93.5,0.33,5590.0,11.54,35.04,522500.0,40.0,1552.94,1551.46,209.0,30.0,0.0
7.16,66.14,6013.52,2.93,153.74,513.39,751.66,1503.33,55.0,78.0,26.33,0.0,2610.0,48.0,2.17,0.0,2.17,-0.2,-3.51,3.88,0.29,9.24,0.18,351.67,0.55,75.26,0.19,0.16,2.37,36.99,115.62,0.18,0.09,0.26,0.17,0.15,182.3,0.2,4800.0,8.33,41.09,875000.0,87.0,1365.38,1029.52,350.0,31.0,0.0
7.93,66.27,3643.42,9.52,151.64,340.79,610.33,3245.0,55.0,78.0,54.31,0.0,4950.0,89.0,2.16,0.0,2.16,-0.41,-3.41,3.08,0.28,9.24,0.18,351.67,0.45,75.26,0.33,0.27,1.94,12.5,39.86,0.44,0.19,0.63,0.35,0.28,150.8,0.32,8190.0,10.65,33.54,1235000.0,34.0,1441.59,1706.47,494.0,32.0,0.0
8.23,65.95,13805.4,14.63,83.08,195.77,335.41,2863.56,55.0,78.0,69.44,0.01,4230.0,82.0,1.95,0.0,1.95,-0.22,-3.32,8.74,1.49,9.24,0.18,351.67,0.5,75.26,0.33,0.22,2.19,17.73,71.79,0.75,0.12,0.87,0.41,0.28,102.5,0.22,7120.0,8.17,37.91,730000.0,66.0,765.93,1757.65,292.0,33.0,0.0
7.88,66.11,4849.13,12.55,81.38,112.77,250.0,1415.1,55.0,78.0,38.17,0.01,1440.0,24.0,2.17,0.0,2.17,-0.53,-2.79,3.28,-0.5,9.24,0.18,351.67,0.47,75.26,0.35,0.26,2.02,10.72,36.16,0.52,0.16,0.69,0.38,0.26,81.7,0.26,3120.0,9.15,35.0,255000.0,31.0,1136.15,1566.62,102.0,34.0,0.0
6.81,66.19,10269.23,9.01,130.27,371.99,680.07,3352.61,55.0,78.0,99.2,0.0,7560.0,139.0,2.16,0.0,2.16,-0.2,-2.03,2.8,0.15,9.24,0.18,351.67,0.54,75.26,0.18,0.15,2.33,41.55,82.99,0.27,0.07,0.35,0.18,0.16,125.2,0.19,12420.0,7.81,40.42,1555000.0,72.0,1535.17,780.77,622.0,35.0,0.0
7.64,66.17,5604.15,20.09,36.39,64.56,141.42,1297.11,55.0,78.0,51.19,0.01,1620.0,32.0,1.94,0.0,1.94,-0.14,-3.12,1.73,0.11,9.24,0.18,351.67,0.48,75.26,0.41,0.29,2.09,6.42,24.16,0.35,0.25,0.6,0.42,0.32,57.6,0.14,2950.0,5.07,36.21,170000.0,62.0,1316.32,1420.22,68.0,36.0,0.0
5.94,66.22,28201.78,3.29,351.13,764.74,1453.44,2516.45,55.0,78.0,145.54,0.01,9540.0,173.0,2.16,0.0,2.16,-0.45,-1.55,5.35,0.93,9.24,0.18,351.67,0.59,75.26,0.07,0.06,2.55,322.91,830.35,0.12,0.03,0.15,0.08,0.06,104.0,0.07,15140.0,2.94,44.1,1575000.0,139.0,1779.17,124.96,630.0,37.0,0.0
7.08,66.04,12416.91,12.12,46.54,111.09,206.16,1346.29,55.0,78.0,39.82,0.01,1620.0,31.0,1.94,0.0,1.94,-0.13,-1.79,4.08,0.69,9.24,0.18,351.67,0.49,75.26,0.22,0.18,2.14,21.65,41.65,0.13,0.16,0.29,0.23,0.2,75.6,0.17,3010.0,6.26,37.08,227500.0,76.0,1187.15,902.43,91.0,38.0,0.0
7.79,66.2,4216.81,2.92,244.82,519.94,1029.56,1520.69,55.0,78.0,32.37,0.0,3240.0,57.0,2.16,0.0,2.16,-0.57,-2.77,4.19,0.26,9.24,0.18,351.67,0.46,75.26,0.21,0.15,1.99,41.67,142.64,0.64,0.1,0.74,0.3,0.23,165.6,0.2,5360.0,6.97,34.39,887500.0,27.0,1341.12,1557.99,355.0,39.0,0.0
7.91,66.07,5149.36,2.82,114.63,230.77,450.0,650.0,55.0,78.0,52.02,0.01,1890.0,33.0,2.17,0.0,2.17,-0.34,-2.77,4.67,-0.75,9.24,0.18,351.67,0.48,75.26,0.38,0.27,2.09,10.15,84.85,0.57,0.15,0.72,0.39,0.31,68.6,0.2,3570.0,7.43,36.16,245000.0,2.0,1055.45,1573.27,98.0,40.0,0.0
8.0,66.15,4270.33,8.5,212.43,330.07,813.94,2804.01,55.0,78.0,62.6,0.0,4680.0,80.0,2.17,0.0,2.17,-0.41,-3.26,3.93,0.56,9.24,0.18,351.67,0.52,75.26,0.25,0.2,2.25,27.33,90.23,0.61,0.09,0.7,0.29,0.23,128.0,0.24,8010.0,9.34,38.98,1025000.0,40.0,1189.31,1690.45,410.0,41.0,0.0
7.8,66.34,3521.39,3.39,131.24,261.71,474.34,886.0,55.0,78.0,33.62,0.01,1260.0,19.0,2.16,0.0,2.16,-0.73,-2.93,4.08,-0.09,9.24,0.18,351.67,0.49,75.26,0.36,0.26,2.12,10.69,50.36,0.54,0.2,0.74,0.38,0.28,85.4,0.28,2870.0,10.16,36.64,245000.0,19.0,1602.01,1636.26,98.0,42.0,0.0
7.98,66.18,3668.15,3.62,103.73,218.54,360.56,790.57,55.0,78.0,17.92,0.0,990.0,15.0,2.17,0.0,2.17,-0.62,-3.35,2.83,-0.07,9.24,0.18,351.67,0.49,75.26,0.22,0.17,2.13,28.55,69.46,0.31,0.14,0.45,0.25,0.19,113.3,0.17,2030.0,6.17,36.89,230000.0,35.0,1245.62,1688.79,92.0,43.0,0.0
8.15,66.04,6783.44,3.41,166.91,439.78,763.22,1500.83,55.0,78.0,20.67,0.0,2340.0,45.0,2.17,0.0,2.17,-0.27,-3.38,3.78,0.64,9.24,0.18,351.67,0.43,75.26,0.19,0.13,1.86,56.8,217.82,0.43,0.12,0.55,0.28,0.21,191.1,0.18,3950.0,5.77,32.21,755000.0,59.0,961.28,1749.56,302.0,44.0,0.0
7.19,66.12,6118.39,7.4,81.55,149.52,316.23,1106.8,55.0,78.0,34.69,0.01,1530.0,29.0,2.17,0.0,2.17,-0.29,-3.38,4.79,0.83,9.24,0.18,351.67,0.5,75.26,0.23,0.2,2.19,23.3,52.09,0.21,0.14,0.35,0.23,0.21,81.9,0.19,2840.0,7.35,37.86,232500.0,73.0,1320.8,1042.43,93.0,45.0,0.0
6.74,66.25,12317.76,4.91,225.16,206.34,626.5,1012.42,55.0,78.0,65.15,0.01,2070.0,36.0,2.16,0.0,2.16,-0.35,-1.83,7.12,1.65,9.24,0.18,351.67,0.57,75.26,0.14,0.12,2.48,60.51,180.43,0.17,0.08,0.25,0.15,0.14,59.1,0.11,3850.0,4.62,43.0,227500.0,58.0,1661.34,761.48,91.0,46.0,0.0
7.92,66.36,3776.92,3.39,149.36,342.87,650.0,1162.97,55.0,78.0,29.61,0.0,2070.0,35.0,2.16,0.0,2.16,-0.43,-3.33,3.16,0.07,9.24,0.18,351.67,0.47,75.26,0.22,0.16,2.06,32.54,116.43,0.4,0.09,0.49,0.25,0.19,123.3,0.19,3650.0,6.89,35.61,450000.0,115.0,1609.1,1740.51,180.0,47.0,0.0
7.84,66.45,6875.4,21.87,56.09,48.61,141.42,1063.01,55.0,78.0,32.71,0.01,1170.0,22.0,2.16,0.0,2.16,-0.42,-3.33,2.27,0.08,9.24,0.18,351.67,0.48,75.26,0.33,0.26,2.08,9.71,19.87,0.24,0.2,0.44,0.34,0.28,65.4,0.18,2140.0,6.39,35.96,140000.0,43.0,1789.38,1726.89,56.0,48.0,0.0
7.96,66.33,4342.15,6.99,58.13,127.92,250.0,894.43,55.0,78.0,26.19,0.01,1080.0,20.0,1.93,0.0,1.93,-0.24,-3.16,2.41,0.16,9.24,0.18,351.67,0.49,75.26,0.28,0.18,2.12,16.31,61.84,0.32,0.18,0.5,0.31,0.21,80.6,0.14,2110.0,5.23,36.71,170000.0,61.0,1552.0,1762.49,68.0,49.0,0.0
7.44,66.39,7624.18,3.65,156.17,331.0,650.0,1208.3,55.0,78.0,26.87,0.0,2160.0,43.0,2.16,0.0,2.16,-0.3,-2.89,2.9,-0.17,9.24,0.18,351.67,0.44,75.26,0.26,0.19,1.9,25.27,72.51,0.54,0.14,0.68,0.31,0.25,134.3,0.2,3610.0,6.56,32.89,485000.0,65.0,1768.67,1388.71,194.0,50.0,0.0
7.89,66.37,3640.37,4.98,102.93,175.4,412.31,873.21,55.0,78.0,31.81,0.01,1440.0,25.0,2.16,0.0,2.16,-0.72,-3.34,2.2,-0.57,9.24,0.18,351.67,0.48,75.26,0.29,0.21,2.08,18.01,69.67,0.49,0.11,0.59,0.31,0.23,81.7,0.21,2600.0,7.46,35.98,212500.0,12.0,1637.47,1729.0,85.0,51.0,0.0
7.66,66.41,4082.96,7.02,78.01,128.4,250.0,901.39,55.0,78.0,25.72,0.0,810.0,13.0,2.16,0.0,2.16,-0.54,-2.77,2.3,0.21,9.24,0.18,351.67,0.47,75.26,0.28,0.2,2.03,16.5,40.56,0.51,0.19,0.7,0.31,0.22,80.1,0.18,2060.0,6.47,35.11,165000.0,34.0,1750.32,1563.39,66.0,52.0,0.0
7.9,66.33,3397.16,2.4,191.45,290.25,873.21,696.42,55.0,78.0,47.56,0.01,2070.0,34.0,2.16,0.0,2.16,-0.69,-3.48,1.82,-0.02,9.24,0.18,351.67,0.46,75.26,0.31,0.21,2.0,13.53,38.55,0.38,0.12,0.51,0.32,0.23,74.6,0.18,3550.0,6.12,34.61,265000.0,113.0,1556.42,1707.7,106.0,53.0,0.0
7.99,66.26,4201.45,9.41,82.05,117.98,360.56,1110.18,55.0,78.0,45.1,0.01,1800.0,34.0,1.93,0.0,1.93,-0.34,-3.38,3.45,-0.35,9.24,0.18,351.67,0.45,75.26,0.3,0.23,1.94,11.89,25.32,0.25,0.23,0.48,0.32,0.25,69.8,0.19,3150.0,6.36,33.64,220000.0,55.0,1410.6,1742.82,88.0,54.0,0.0
8.0,66.02,6804.88,4.38,194.53,296.35,738.24,1297.11,55.0,78.0,57.62,0.01,3240.0,57.0,2.17,0.0,2.17,-0.5,-3.0,3.76,0.68,9.24,0.18,351.67,0.52,75.26,0.22,0.17,2.25,35.15,127.32,0.44,0.05,0.49,0.24,0.19,90.1,0.17,5190.0,6.43,38.91,467500.0,153.0,956.9,1615.63,187.0,55.0,0.0
7.75,66.17,4160.28,2.32,127.61,233.27,430.12,540.83,55.0,78.0,43.02,0.01,1890.0,28.0,2.16,0.0,2.16,-0.5,-3.11,5.28,0.65,9.24,0.18,351.67,0.48,75.26,0.35,0.22,2.09,15.27,56.16,1.02,0.1,1.12,0.38,0.21,75.1,0.27,3230.0,9.8,36.15,242500.0,144.0,1283.61,1501.54,97.0,56.0,0.0
7.4,66.15,5156.82,1.9,211.0,460.62,807.77,873.21,55.0,78.0,39.31,0.01,2250.0,42.0,1.94,0.0,1.94,-0.29,-2.56,5.55,1.51,9.24,0.18,351.67,0.48,75.26,0.31,0.24,2.07,12.68,34.59,0.37,0.16,0.54,0.33,0.25,101.5,0.36,3990.0,12.83,35.77,405000.0,112.0,1325.85,1223.48,162.0,57.0,0.0
